Investment trust name,Ticker
Aquila Energy Efficiency Trust,AEET.L
Aquila European Renewables,AERS.L
Bluefield Solar Income Fund,BSIF.L
Downing Renewables & Infrastructure,DORE.L
Ecofin US Renewables Infrastructure,RNEP.L
Foresight Environmental Infrastructure,FGEN.L
Foresight Solar Fund,FSFL.L
Gore Street Energy Storage Fund,GSF.L
Greencoat Renewables,GRP.L
Greencoat UK Wind,UKW.L
Gresham House Energy Storage,GRID.L
HydrogenOne Capital Growth,HGEN.L
Impax Environmental Markets,IEM.L
NextEnergy Solar Fund,NESF.L
Octopus Renewables Infrastructure Trust,ORIT.L
Renewables Infrastructure Group,TRIG.L
Schroder BSC Social Impact Trust,SBSI.L
SDCL Efficiency Income,SEIT.L
US Solar Fund,USF.L
VH Global Energy Infrastructure,ENRG.L
